algo,size,trial,runtime_ns,cpu_ns,cost,nodes_expanded
rrnn,6,7,1846000,1844000,1.7547496920325507,0
rrnn,6,8,1847000,1830000,1.9668510853745373,0
rrnn,6,9,1735000,1730000,2.4785680059775688,0
rrnn,6,10,1816000,1815000,2.4525779741476916,0
rrnn,7,0,2960000,2958000,7.0,0
rrnn,7,1,3136000,3136000,2.548515833666206,0
rrnn,7,2,2901000,2897000,2.1133715738835726,0
rrnn,7,3,2747000,2746000,2.7655386558697854,0
rrnn,7,4,3111000,3108000,2.846818037575111,0
rrnn,7,5,2704000,2699000,2.490845941532837,0
rrnn,7,6,3127000,3123000,2.5723564469140525,0
rrnn,7,7,3514000,3510000,2.399317511596459,0
rrnn,7,8,3303000,3304000,2.8691626616349586,0
rrnn,7,9,3113000,3109000,2.313145784495734,0
rrnn,7,10,2946000,2942000,1.9213979013365257,0
rrnn,8,0,4350000,4346000,8.0,0
rrnn,8,1,5280000,5276000,2.169253240672645,0
rrnn,8,2,5503000,5498000,2.617022360072963,0
rrnn,8,3,5043000,5039000,2.922101088853702,0
rrnn,8,4,4617000,4614000,2.5500304966934046,0
rrnn,8,5,4642000,4638000,2.259541309300535,0
rrnn,8,6,5784000,5781000,2.6379582091479707,0
rrnn,8,7,5203000,5200000,2.6801242091455992,0
rrnn,8,8,4125000,4120000,2.653053185766895,0
rrnn,8,9,4866000,4862000,2.9245232677730293,0
rrnn,8,10,5543000,5540000,2.3974053238819213,0
rrnn,9,0,8079000,8075000,2.761946756155129,0
rrnn,9,1,9378000,9376000,3.425061693053154,0
rrnn,9,2,7985000,7981000,2.976243492945899,0
rrnn,9,3,9498000,9497000,2.4796224566556866,0
rrnn,9,4,7607000,7602000,2.7487899806456584,0
rrnn,9,5,6968000,6964000,2.7163262667987818,0
rrnn,9,6,9567000,9565000,2.8945244142259123,0
rrnn,9,7,8550000,8549000,3.4309257711030487,0
rrnn,9,8,7379000,7379000,2.9485998664242383,0
rrnn,9,9,6616000,6612000,2.2509074693075624,0
rrnn,10,0,10406000,10405000,2.4264022434978916,0
rrnn,10,1,10716000,10713000,2.91984797950471,0
rrnn,10,2,11382000,11379000,3.351320331000942,0
rrnn,10,3,14577000,14573000,3.4420740877089218,0
rrnn,10,4,16489000,16484000,3.2268629179918995,0
rrnn,10,5,10883000,10879000,2.334051028911734,0
rrnn,10,6,11770000,11766000,2.8527480232166775,0
rrnn,10,7,12022000,12018000,2.8362240587991128,0
rrnn,10,8,14183000,14182000,2.983899143056186,0
rrnn,10,9,13787000,13784000,2.828184716381501,0
rrnn,15,0,65020000,65017000,3.679208701557944,0
rrnn,15,1,70038000,70029000,3.2927732135176573,0
rrnn,15,2,63546000,63543000,3.3761934836352916,0
rrnn,15,3,68776000,68771000,3.255522178875017,0
rrnn,15,4,52277000,52265000,3.0376088161830257,0
rrnn,15,5,57209000,57209000,3.034791260708352,0
rrnn,15,6,63423000,63420000,2.8747424255513714,0
rrnn,15,7,65774000,65770000,2.953731551886327,0
rrnn,15,8,60995000,60991000,2.781896341181247,0
rrnn,15,9,69974000,69972000,3.279437951566352,0
rrnn,20,0,204116000,203917000,3.7074426667791287,0
rrnn,20,1,178056000,178036000,4.375786140605382,0
rrnn,20,2,192791000,192735000,3.9633563103617404,0
rrnn,20,3,197991000,197952000,4.1051862170918,0
rrnn,20,4,241801000,241786000,3.483894774010487,0
rrnn,20,5,186399000,186392000,3.3650292539189626,0
rrnn,20,6,224148000,224137000,3.8691641956046054,0
rrnn,20,7,227047000,227032000,3.333998744542599,0
rrnn,20,8,181539000,181529000,4.662431349587166,0
rrnn,20,9,239214000,239204000,3.652638422142972,0
